alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,,,,,
10,1.7416,0.00978,0.00551,-0.1218,0.0189,0.6032,10,1.8363,0.01053,0.00619,-0.142,0.0163,0.6104,9.5,1.6993,0.00951,0.00503,-0.1478,0.0189,0.6101,9.5,1.6046,0.00905,0.00461,-0.1262,0.0192,0.6007,,,,,
10.5,1.8008,0.01012,0.00586,-0.1203,0.0187,0.6071,10.5,1.8923,0.01105,0.0067,-0.1398,0.0146,0.6129,10,1.7528,0.00981,0.00531,-0.1471,0.0188,0.6109,10,1.6595,0.00932,0.00487,-0.1258,0.0191,0.6057,,,,,
11,1.8595,0.0105,0.00624,-0.1187,0.0185,0.6099,11,1.9482,0.01154,0.0072,-0.1375,0.0132,0.6168,10.5,1.8054,0.01017,0.00564,-0.1462,0.0182,0.615,10.5,1.7139,0.0096,0.00515,-0.1253,0.0191,0.609,,,,,
11.5,1.9173,0.01094,0.00668,-0.1167,0.018,0.6176,11.5,2.0037,0.01203,0.00769,-0.1349,0.012,0.6192,11.5,1.9072,0.01105,0.00647,-0.1437,0.0157,0.6202,11.5,1.8211,0.0102,0.00574,-0.124,0.019,0.6195,,,,,
12.5,2.0269,0.01217,0.00791,-0.1116,0.0143,0.6253,12.5,2.1124,0.01301,0.0087,-0.1291,0.0098,0.626,12,1.9569,0.0115,0.0069,-0.1423,0.0145,0.6246,12,1.8736,0.01053,0.00606,-0.1231,0.0189,0.6224,,,,,
13,2.0811,0.01277,0.00852,-0.1087,0.0128,0.6301,13,2.164,0.01355,0.00925,-0.1255,0.0097,0.6289,12.5,2.0061,0.01194,0.00734,-0.1407,0.0134,0.6283,12.5,1.9253,0.0109,0.00641,-0.1221,0.0186,0.6282,,,,,
13.5,2.1349,0.01333,0.00911,-0.1057,0.0114,0.6388,13.5,2.2121,0.01411,0.00985,-0.1212,0.0096,0.63,13,2.0546,0.01238,0.00776,-0.1391,0.0125,0.6298,13,1.9745,0.01143,0.00692,-0.1207,0.017,0.6359,,,,,
14,2.1872,0.01391,0.00971,-0.1023,0.0103,0.6405,14,2.2582,0.01473,0.01049,-0.1164,0.0096,0.6307,13.5,2.102,0.01282,0.0082,-0.1372,0.0118,0.6304,13.5,2.0223,0.01202,0.00748,-0.1191,0.0151,0.64,,,,,
14.5,2.236,0.01452,0.01034,-0.0981,0.0098,0.6463,14.5,2.3027,0.0154,0.01121,-0.1114,0.0096,0.6345,14,2.1483,0.01327,0.00865,-0.1352,0.011,0.6335,14,2.0699,0.01255,0.008,-0.1174,0.0136,0.6443,,,,,
15.5,2.3236,0.0159,0.01182,-0.088,0.0097,0.6591,15.5,2.3718,0.0171,0.01301,-0.0979,0.0096,0.64,14.5,2.1925,0.01374,0.00911,-0.1327,0.0103,0.6369,14.5,2.1171,0.01303,0.00848,-0.1156,0.0126,0.6491,,,,,
16,2.3535,0.01679,0.01276,-0.0806,0.0097,0.6605,16,2.4084,0.01811,0.01407,-0.0917,0.0095,0.6459,15.5,2.2727,0.01473,0.01012,-0.1263,0.0097,0.6447,15.5,2.2078,0.01402,0.00948,-0.1115,0.011,0.6601,,,,,
