xflr5 v6.61

Plane name :, Main Aircraft
Polar name :, LoadCase1Extendedalpha
Freestream speed :, 130.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   19.000,     0.000,   1.722522,   0.079657,   0.009854,   0.089511,   0.000000,   0.000000,  -1.924821,   0.000000,   0.000000,  130.7000,    9.5081
   19.500,     0.000,   1.755756,   0.082649,   0.010024,   0.092673,   0.000000,   0.000000,  -1.957178,   0.000000,   0.000000,  130.7000,    9.5031
   20.000,     0.000,   1.788778,   0.085666,   0.010199,   0.095865,   0.000000,   0.000000,  -1.989099,   0.000000,   0.000000,  130.7000,    9.4987
   20.500,     0.000,   1.821587,   0.088705,   0.010375,   0.099080,   0.000000,   0.000000,  -2.020574,   0.000000,   0.000000,  130.7000,    9.4949
   21.000,     0.000,   1.854179,   0.091764,   0.010560,   0.102324,   0.000000,   0.000000,  -2.051595,   0.000000,   0.000000,  130.7000,    9.4916
   21.500,     0.000,   1.886551,   0.094841,   0.010749,   0.105591,   0.000000,   0.000000,  -2.082152,   0.000000,   0.000000,  130.7000,    9.4889
   22.000,     0.000,   1.918700,   0.097934,   0.010956,   0.108890,   0.000000,   0.000000,  -2.112241,   0.000000,   0.000000,  130.7000,    9.4866
   22.500,     0.000,   1.950622,   0.101041,   0.011186,   0.112227,   0.000000,   0.000000,  -2.141854,   0.000000,   0.000000,  130.7000,    9.4848
   23.000,     0.000,   1.982315,   0.104158,   0.011435,   0.115592,   0.000000,   0.000000,  -2.170986,   0.000000,   0.000000,  130.7000,    9.4834


